song_id,section_index,start_time,end_time,duration,section_type,structure_label,lyric_evidence,vocal_evidence,acoustic_evidence,boundary_confidence,type_confidence,need_human_review
i_only_care_about_you,1,0:26.00,0:35.00,0:09.00,verse,B,歌词语义/重复关系形成的初稿段落,完整主唱句组,尚未声学复核,0.0,0.0,false
i_only_care_about_you,2,0:35.00,0:57.00,0:22.00,pre_chorus,C,歌词语义/重复关系形成的初稿段落,完整主唱句组,尚未声学复核,0.0,0.0,false
i_only_care_about_you,3,0:57.00,1:29.00,0:32.00,chorus,D,歌词语义/重复关系形成的初稿段落,完整主唱句组,尚未声学复核,0.0,0.0,false
i_only_care_about_you,4,1:29.00,1:38.00,0:09.00,verse,B,歌词语义/重复关系形成的初稿段落,完整主唱句组,尚未声学复核,0.0,0.0,false
i_only_care_about_you,5,1:55.00,2:05.00,0:10.00,verse,B,歌词语义/重复关系形成的初稿段落,完整主唱句组,尚未声学复核,0.0,0.0,false
i_only_care_about_you,6,2:05.00,2:26.00,0:21.00,pre_chorus,C,歌词语义/重复关系形成的初稿段落,完整主唱句组,尚未声学复核,0.0,0.0,false
i_only_care_about_you,7,2:26.00,2:51.00,0:25.00,chorus,D,歌词语义/重复关系形成的初稿段落,完整主唱句组,尚未声学复核,0.0,0.0,false
i_only_care_about_you,8,2:51.00,2:55.00,0:04.00,verse,B,歌词语义/重复关系形成的初稿段落,完整主唱句组,尚未声学复核,0.0,0.0,false
i_only_care_about_you,9,2:55.00,3:16.00,0:21.00,pre_chorus,C,歌词语义/重复关系形成的初稿段落,完整主唱句组,尚未声学复核,0.0,0.0,false
i_only_care_about_you,10,3:16.00,3:40.00,0:24.00,chorus,D,歌词语义/重复关系形成的初稿段落,完整主唱句组,尚未声学复核,0.0,0.0,false
i_only_care_about_you,11,3:40.00,3:59.00,0:19.00,verse,B,歌词语义/重复关系形成的初稿段落,完整主唱句组,尚未声学复核,0.0,0.0,false
